id	father	mother	gv	sex	gen	farm	pheno
1001	201	880	-0.213546662952953	M	1	1	-0.244505673579517
1002	395	318	0.19340275413082	F	1	2	1.52437898989657
1003	721	184	-0.238850484539745	M	1	2	4.42009509490783
1004	333	914	0.0414057762722704	F	1	1	0.334825975849529
1005	323	996	0.491197392924328	M	1	1	1.79482371374431
1006	781	712	0.311291884342828	F	1	3	2.73744786397474
1007	19	178	-0.397942618851309	M	1	3	3.80970588513234
1008	381	550	0.806282786975365	F	1	2	1.13102845999413
1009	81	910	0.282917991781261	M	1	1	2.44715445065928
1010	283	492	0.0772916478358386	F	1	2	0.545246755737635
1011	923	854	1.18381830101829	M	1	1	2.77225670645018
1012	331	226	-0.0908731955374831	F	1	1	-0.379642510887036
1013	617	572	0.945724509626561	M	1	2	5.31460805271646
1014	947	498	0.100518661173355	F	1	1	-1.10597874575345
1015	495	918	0.496968451281138	M	1	2	4.09558785051296
1016	415	770	-0.468985848397291	F	1	3	1.31769299364999
1017	949	688	1.03313924597064	M	1	1	3.05054037626337
1018	405	932	-0.457601138908557	F	1	1	-0.233124473443086
1019	551	206	-0.751806033547514	M	1	1	0.774023211246319
1020	941	694	0.0583702212209302	F	1	1	0.0196870045679053
1021	425	728	0.149555612930183	M	1	2	4.48497359883877
1022	277	294	0.0503748285416307	F	1	2	-0.00659688083158438
1023	841	590	-0.594750666699194	M	1	2	2.86783109867049
1024	731	670	0.66605165178854	F	1	1	1.86038914251083
1025	705	454	0.198291190721217	M	1	3	3.22846975580277
1026	775	606	-0.0104813482300015	F	1	2	-0.172362362706548
1027	211	840	0.534907325955601	M	1	2	2.50808382866527
1028	907	216	0.574792856482875	F	1	3	2.36405217442404
1029	581	122	0.486374164663561	M	1	1	3.13279587070712
1030	305	584	0.265587463010724	F	1	1	2.02455828398791
1031	251	526	-0.51423614064395	M	1	3	3.59703486660788
1032	483	300	-0.0751858928210155	F	1	3	2.60487345667086
1033	969	556	0.520188813400441	M	1	1	3.16127150159572
1034	833	356	-0.0995976683972034	F	1	1	1.73167675342649
1035	297	958	0.0665132150647006	M	1	3	4.22969958117905
1036	747	732	-0.500688464318808	F	1	3	1.46751925596711
1037	147	422	0.311578257451063	M	1	2	3.4407503665596
1038	875	534	0.634183031042758	F	1	2	1.8081763909915
1039	479	746	-0.322317326294439	M	1	1	1.88967567979295
1040	497	842	0.203545058579329	F	1	2	0.616392119249939
1041	175	650	0.226149780680881	M	1	1	3.26526916016427
1042	533	796	0.141536174530647	F	1	2	1.20809554563329
1043	235	466	0.422911975731626	M	1	3	5.53851459343497
1044	449	884	0.410330821847525	F	1	1	0.878334552308848
1045	785	8	-0.292145463148896	M	1	2	2.68514783819622
1046	735	896	-0.378041641480282	F	1	2	-0.0305135174928144
1047	259	846	-0.371619412971247	M	1	3	3.39587508880866
1048	393	352	0.697256544311761	F	1	3	2.47897669766274
1049	553	50	0.254607559761087	M	1	2	3.39287223343213
1050	593	778	-0.23994520520895	F	1	2	0.632105973041501
1051	395	396	0.301409787073405	M	1	3	4.53374096551485
1052	721	622	-0.470246879951582	F	1	2	2.14154844030253
1053	333	104	0.12015386004511	M	1	3	3.86084084806259
1054	323	14	0.263304587837615	F	1	1	-0.467657729121319
1055	781	674	0.794566590289029	M	1	1	2.70707555003063
1056	19	508	0.147092292823507	F	1	2	0.162617254511762
1057	381	82	0.563498164877927	M	1	2	3.17214374773223
1058	81	660	0.740598132629811	F	1	2	0.081235817078285
1059	283	322	0.758546781994831	M	1	2	4.56507692349045
1060	923	898	0.37213482462869	F	1	1	0.458183552154282
1061	331	962	-0.689595133881624	M	1	2	2.19822604926397
1062	617	500	0.177551408222717	F	1	3	2.97984872802267
1063	947	376	-0.152988690639505	M	1	1	2.76654361504247
1064	495	284	-0.377699053240389	F	1	1	-0.590646543819622
1065	415	70	0.466350340869332	M	1	3	4.19166813340875
1066	949	324	-0.0668521413876291	F	1	1	-0.0491153790074289
1067	405	36	-0.143717743833046	M	1	3	2.81329569263162
1068	551	760	-0.388487178171042	F	1	3	1.97689461323729
1069	941	406	-0.29409065934442	M	1	3	2.95728336567116
1070	425	214	1.14664729059852	F	1	2	3.22654405388084
1071	277	292	-0.27859835547418	M	1	3	4.29400525997835
1072	841	808	-0.370918667786061	F	1	2	0.265863580556722
1073	731	950	-0.365168571720494	M	1	1	1.93234575754595
1074	705	772	0.428116437244046	F	1	1	0.302361258277083
1075	775	88	0.438306135047165	M	1	1	2.85900170554022
1076	211	542	0.627619302388973	F	1	3	2.43778030407301
1077	907	592	0.260300732666588	M	1	2	4.39199348886702
1078	581	42	-0.476245911739775	F	1	1	0.165683413276062
1079	305	794	-0.656882793518068	M	1	3	4.10406095801918
1080	251	604	0.755641090968874	F	1	2	2.89645727606471
1081	483	360	0.338723233711223	M	1	2	4.93802658975979
1082	969	386	-0.2498024838196	F	1	3	2.59381124257482
1083	833	112	-0.315582125847331	M	1	1	2.71134488134668
1084	297	928	0.0269066852024052	F	1	3	-0.654582575455537
1085	747	844	-0.128691861823806	M	1	1	1.5007612841327
1086	147	668	0.47053626053657	F	1	2	0.624866034563852
1087	875	98	-0.436400434311038	M	1	1	1.69669413729174
1088	479	412	-0.357832235819704	F	1	3	2.0351527640575
1089	497	748	1.0760903841218	M	1	2	3.33868631726571
1090	175	870	0.0920090667164649	F	1	1	0.146109888965601
1091	533	26	0.291487526419294	M	1	1	4.83444827345384
1092	235	156	0.333895474687028	F	1	3	1.71803416503235
1093	449	22	0.974496951047115	M	1	3	5.02636140638425
1094	785	922	-1.13534091097591	F	1	2	-1.37463120005155
1095	735	468	0.83848582601335	M	1	2	4.95514978025318
1096	259	250	0.0126163523644353	F	1	1	-0.639617294879001
1097	393	520	0.107033906340479	M	1	3	4.4337150558038
1098	553	246	0.349476932189317	F	1	2	0.548441314025077
1099	593	532	0.581699369165993	M	1	2	2.28188245677537
1100	201	954	0.2931021308174	F	1	2	-0.140674318787051
1101	721	272	0.0248369745020867	M	1	3	4.58071624112688
1102	333	348	-0.243277295169826	F	1	3	2.20778128610676
1103	323	992	-0.515508410701595	M	1	3	3.62223749747398
1104	781	756	-0.201683612879838	F	1	3	0.583907919162522
1105	19	816	-0.126478790759317	M	1	2	1.91926518871642
1106	381	400	1.01323251670459	F	1	1	0.446243188004522
1107	81	698	0.255094461060399	M	1	2	2.56388878766375
1108	283	994	0.956764065356864	F	1	2	0.788532524013102
1109	923	704	1.42519937250677	M	1	1	3.95818035007664
1110	331	248	-0.688846879273123	F	1	1	-0.751188673703246
1111	617	686	-0.641681808333735	M	1	2	1.90978798751822
1112	947	886	-0.77650275824073	F	1	3	0.895941116916657
1113	495	920	-0.0851497065387856	M	1	2	2.37822210868759
1114	415	440	0.71033917323605	F	1	2	1.90282015000988
1115	949	346	-0.305247716215731	M	1	3	4.41796518872861
1116	405	172	-0.312107013743251	F	1	2	2.47318571550421
1117	551	544	-0.736108023561889	M	1	2	3.08252022897866
1118	941	342	0.0179988847536911	F	1	2	0.197891940630416
1119	425	2	0.12098155190122	M	1	3	4.50257133019175
1120	277	192	0.0266760527599137	F	1	3	1.24570997708024
1121	841	58	-0.580871398487038	M	1	1	-0.2004020902128
1122	731	222	0.174441091451264	F	1	1	0.137033032717949
1123	705	912	0.564040384078804	M	1	1	2.47648351296496
1124	775	176	-0.30239594647766	F	1	3	0.908401574021468
1125	211	254	0.301533738164343	M	1	3	4.36880303205461
1126	907	420	-0.216947817178462	F	1	1	-0.0865096356771889
1127	581	966	0.721120796825922	M	1	3	4.99459385137115
1128	305	964	1.38036648362887	F	1	1	2.18453630451868
1129	251	262	-0.642265919294992	M	1	3	2.86448288519738
1130	483	152	0.475500190630026	F	1	3	0.615804411142725
1131	969	930	-0.692947468405132	M	1	3	3.28077101128279
1132	833	426	-0.682026513850051	F	1	2	-0.0612982816366738
1133	297	86	0.23128410708477	M	1	2	2.87501085837531
1134	747	936	0.0800733901189949	F	1	1	0.102609288507562
1135	147	810	1.16272180032444	M	1	2	2.28566636496017
1136	875	158	-0.111766124632707	F	1	1	-0.532008843665273
1137	479	734	-0.0543260806392967	M	1	2	1.04891129685988
1138	497	848	-0.029510975262435	F	1	1	0.175282768363804
1139	175	834	-0.470009190618305	M	1	1	2.04798657382103
1140	533	708	0.0495187622061311	F	1	1	-0.78228230649855
1141	235	200	-0.0771632090984835	M	1	1	1.71307756926338
