id	father	mother	gv	sex	gen	farm	pheno
1001	257	86	-0.142706791736071	M	1	2	0.34956120147386
1002	359	422	-0.0953041914416706	F	1	1	-1.12839604203423
1003	641	676	0.264237442567619	M	1	3	3.91731588195503
1004	571	850	-0.481851573742683	F	1	1	-1.06082594567227
1005	873	478	0.289050962277758	M	1	2	1.49271450393351
1006	677	812	-0.212920562820044	F	1	2	-1.43815879987799
1007	759	240	-0.0367720566436424	M	1	1	3.1655928571561
1008	455	354	-0.22589601507195	F	1	1	-0.301416522069033
1009	795	360	0.224686966360644	M	1	2	1.4892035079621
1010	75	664	0.439005420147015	F	1	1	-0.964023453450775
1011	383	326	-0.0914454227970931	M	1	3	4.62576694702893
1012	891	134	0.350056012885628	F	1	3	2.98409513833685
1013	727	838	0.346133469505274	M	1	3	3.52940502152053
1014	201	608	-0.0863196914302481	F	1	2	-0.395145424512883
1015	781	402	-0.378305123074293	M	1	3	2.85328290448026
1016	243	964	-0.0237977554221126	F	1	3	1.26450841119994
1017	133	848	0.71600859467132	M	1	1	2.07631636366177
1018	793	198	0.250236909639249	F	1	3	2.93341252343875
1019	515	816	-1.18605214249198	M	1	3	2.75765605381252
1020	661	588	0.202129555312657	F	1	1	0.0799308419946093
1021	905	542	-0.275340590116749	M	1	3	4.47908407279734
1022	841	548	-0.253730675588307	F	1	1	-2.70895244966635
1023	487	378	0.437910206206668	M	1	1	3.59651005054461
1024	937	640	0.672984156674192	F	1	1	1.18455108635441
1025	7	790	-0.711352491853149	M	1	2	-0.773015603098086
1026	969	950	-0.620292432358183	F	1	1	-0.966216905477833
1027	643	766	-0.164617042412433	M	1	1	3.55917625833499
1028	447	874	-0.919652238853363	F	1	1	-1.43380830980557
1029	451	614	-0.576991300521744	M	1	3	3.37313976263606
1030	945	230	0.454275418727877	F	1	3	1.23088577487343
1031	99	732	0.745262482457898	M	1	2	1.61986159274667
1032	129	988	0.1533928168527	F	1	2	-2.2797337888615
1033	41	176	-0.374573566202942	M	1	3	3.59817692098988
1034	199	432	0.599984419091284	F	1	2	0.920242250711802
1035	717	100	-0.204364962826242	M	1	2	0.400653135531747
1036	987	900	-0.4077119761579	F	1	1	-1.13466283405454
1037	403	182	-0.397947415724916	M	1	1	2.14183312283811
1038	683	628	0.717165240224132	F	1	2	-0.112933521651748
1039	847	238	1.08309599437826	M	1	3	3.32660120369962
1040	229	374	0.0311611393819743	F	1	2	-0.753436019598853
1041	121	346	0.1012034099083	M	1	1	1.60016862221005
1042	775	388	-0.985126837251777	F	1	3	1.95083778905234
1043	137	122	0.30444271388939	M	1	2	0.51461476508128
1044	277	502	0.671247035654378	F	1	1	1.80700840465234
1045	255	634	-0.6112259506188	M	1	2	0.236652284958379
1046	711	690	0.172836913618307	F	1	1	-0.239065649011746
1047	511	976	0.371999013685306	M	1	3	4.32969952404887
1048	567	158	-0.431878534450383	F	1	2	-1.68993512466589
1049	303	474	0.100508324685208	M	1	3	3.24696316222566
1050	897	864	-0.378693563353132	F	1	2	-0.824675938237806
1051	359	928	-0.722772308235492	M	1	2	1.46583551017788
1052	641	794	0.344500125478672	F	1	3	2.91997960449138
1053	571	302	0.440158888389786	M	1	2	1.49320288460025
1054	873	332	0.0242716081137621	F	1	2	-0.24760160985225
1055	677	636	0.243732622679473	M	1	2	0.981779387151389
1056	759	140	0.888622010245869	F	1	2	-0.676155565501936
1057	455	220	-0.32409637838263	M	1	3	4.32681435880414
1058	795	742	0.168052260919584	F	1	1	0.288425164693112
1059	75	412	0.235135203332013	M	1	2	0.114032610735225
1060	383	14	0.204106615593027	F	1	2	-0.92603212736977
1061	891	42	-0.772274915219555	M	1	3	2.86648289874626
1062	727	496	0.520817647718345	F	1	2	0.420739237173262
1063	201	980	0.271010661094032	M	1	1	2.41024805034833
1064	781	206	0.732662313341583	F	1	1	-0.349288712351093
1065	243	76	1.4254035577715	M	1	1	3.70697777287025
1066	133	532	0.422129023623467	F	1	2	-0.505061383933835
1067	793	804	-0.219930613025178	M	1	1	2.4654583425471
1068	515	464	-0.76653244762659	F	1	3	0.251896364709822
1069	661	164	-0.0857048605530003	M	1	1	2.11080660320449
1070	905	638	-0.242912620091353	F	1	2	-1.06926833041728
